hot_rank,original_rank,ingredient,group,recipe_count,keyword,keyword_ascii,google_trends_hot_score,relative_to_anchor,trends_batch_avg_interest,anchor_batch_avg_interest,trends_max_interest,nonzero_points,data_points,status,trends_url
52,76,Sa Tế,Nước chấm,39,sa tế,sa te,0.3,0.235294,8.0,34.0,14.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=sa+t%E1%BA%BF&hl=vi-VN
86,77,Lá Quế,Gia vị,39,lá quế,la que,0.11,0.088235,3.0,34.0,5.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=l%C3%A1+qu%E1%BA%BF&hl=vi-VN
39,78,Hẹ,Rau củ quả,38,hẹ,he,0.7,0.545455,36.0,66.0,48.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=h%E1%BA%B9&hl=vi-VN
22,79,Phô mai,Sản phẩm từ sữa,37,phô mai,pho mai,1.65,1.287879,85.0,66.0,100.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=ph%C3%B4+mai&hl=vi-VN
47,80,Trứng cút,Trứng,37,trứng cút,trung cut,0.39,0.30303,20.0,66.0,30.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=tr%E1%BB%A9ng+c%C3%BAt&hl=vi-VN
59,81,Nấm Linh Chi,Nấm,37,nấm linh chi,nam linh chi,0.23,0.181818,12.0,66.0,17.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=n%E1%BA%A5m+linh+chi&hl=vi-VN
54,82,Nước cốt dừa,Sản phẩm từ sữa,36,nước cốt dừa,nuoc cot dua,0.26,0.202532,16.0,79.0,20.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=n%C6%B0%E1%BB%9Bc+c%E1%BB%91t+d%E1%BB%ABa&hl=vi-VN
72,83,Củ Sắn,Rau củ quả,35,củ sắn,cu san,0.16,0.126582,10.0,79.0,15.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=c%E1%BB%A7+s%E1%BA%AFn&hl=vi-VN
,84,Nước Cốt Me,Trái cây,35,nước cốt me,nuoc cot me,,,0.0,79.0,2.0,1,53,no_data,https://trends.google.com/trends/explore?geo=VN&q=n%C6%B0%E1%BB%9Bc+c%E1%BB%91t+me&hl=vi-VN
67,85,Hành tím,Rau củ quả,34,hành tím,hanh tim,0.18,0.139241,11.0,79.0,19.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=h%C3%A0nh+t%C3%ADm&hl=vi-VN
,86,Tôm Đất,Hải sản,33,tôm đất,tom dat,,,0.0,3.0,0.0,0,53,no_data,https://trends.google.com/trends/explore?geo=VN&q=t%C3%B4m+%C4%91%E1%BA%A5t&hl=vi-VN
9,87,Táo,Trái cây,33,táo,tao,5.98,4.666667,14.0,3.0,100.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=t%C3%A1o&hl=vi-VN
34,88,Bí đỏ,Rau củ quả,32,bí đỏ,bi do,0.85,0.666667,2.0,3.0,2.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=b%C3%AD+%C4%91%E1%BB%8F&hl=vi-VN
35,89,Hạt Sen,Rau củ quả,31,hạt sen,hat sen,0.85,0.666667,2.0,3.0,3.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=h%E1%BA%A1t+sen&hl=vi-VN
63,90,Tôm khô,Hải sản,31,tôm khô,tom kho,0.21,0.166667,13.0,78.0,23.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=t%C3%B4m+kh%C3%B4&hl=vi-VN
81,91,Khế chua,Rau củ quả,31,khế chua,khe chua,0.12,0.089744,7.0,78.0,14.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=kh%E1%BA%BF+chua&hl=vi-VN
60,92,Cải thảo,Rau củ quả,31,cải thảo,cai thao,0.23,0.179487,14.0,78.0,20.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=c%E1%BA%A3i+th%E1%BA%A3o&hl=vi-VN
82,93,Rau Mầm,Rau củ quả,31,rau mầm,rau mam,0.12,0.089744,7.0,78.0,12.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=rau+m%E1%BA%A7m&hl=vi-VN
64,94,Rau sống,Rau củ quả,29,rau sống,rau song,0.19,0.151899,12.0,79.0,18.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=rau+s%E1%BB%91ng&hl=vi-VN
43,95,Riềng,Gia vị,29,riềng,rieng,0.52,0.405063,32.0,79.0,38.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=ri%E1%BB%81ng&hl=vi-VN
61,96,Củ Sen,Rau củ quả,29,củ sen,cu sen,0.23,0.177215,14.0,79.0,22.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=c%E1%BB%A7+sen&hl=vi-VN
38,97,Lá lốt,Rau củ quả,28,lá lốt,la lot,0.73,0.56962,45.0,79.0,57.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=l%C3%A1+l%E1%BB%91t&hl=vi-VN
48,98,Tương ớt,Gia vị,28,tương ớt,tuong ot,0.39,0.306122,15.0,49.0,19.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=t%C6%B0%C6%A1ng+%E1%BB%9Bt&hl=vi-VN
90,99,Bí ngòi,Rau củ quả,27,bí ngòi,bi ngoi,0.08,0.0625,1.0,16.0,2.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=b%C3%AD+ng%C3%B2i&hl=vi-VN
57,100,Măng Tây,Rau củ quả,27,măng tây,mang tay,0.24,0.1875,3.0,16.0,4.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=m%C4%83ng+t%C3%A2y&hl=vi-VN
6,101,Tôm,Hải sản,27,tôm,tom,6.81,5.3125,85.0,16.0,100.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=t%C3%B4m&hl=vi-VN
91,102,Nấm bào ngư,Nấm,26,nấm bào ngư,nam bao ngu,0.08,0.0625,1.0,16.0,2.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=n%E1%BA%A5m+b%C3%A0o+ng%C6%B0&hl=vi-VN
96,103,Đậu Cove,Rau củ quả,26,đậu cô ve,dau co ve,0.03,0.025641,2.0,78.0,3.0,41,53,ok,https://trends.google.com/trends/explore?geo=VN&q=%C4%91%E1%BA%ADu+c%C3%B4+ve&hl=vi-VN
88,104,Bánh mì sandwich,Ngũ cốc,25,bánh mì sandwich,banh mi sandwich,0.1,0.076923,6.0,78.0,9.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=b%C3%A1nh+m%C3%AC+sandwich&hl=vi-VN
68,105,Cá Thác Lác,Hải sản,25,cá thác lác,ca thac lac,0.18,0.141026,11.0,78.0,15.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=c%C3%A1+th%C3%A1c+l%C3%A1c&hl=vi-VN
